Partners,Address,Longitude,Latitude,Total
Shwab Elementary School,"1500 Dickerson Pike, Nashville, TN 37207",-86.77206995,36.20006185,23525
Sportsplex Shelter,"222 25th Ave N, Nashville, TN 37203",-86.8085542,36.1470555,3900
St. Luke's Community House,"5601 New York Ave, Nashville, TN 37209",-86.855785,36.1651627,850
Stratford High School,"1800 Stratford Ave, Nashville, TN 37216",-86.71844,36.19828,34672
Tom Joy Elementary,"2201 Jones Ave, Nashville, TN 37207",-86.75593114,36.2087642,9775
Total Health Medical And Dental Care,"5352 Hickory Hollow Pkwy, Antioch, TN 37013",-86.6672284,36.052752,975
TriStar Centennial,"2221 Murphy Ave, Nashville, TN 37203",-86.807152,36.153542,1700
Tusculum Elementary,"440 McMurray Dr, Nashville, TN 37211",-86.7225106,36.0588769,4600
Two Rivers Middle School,"2991 McGavock Pk, Nashville, TN 37214",-86.6799194,36.1688698,18875
Welshwood Clinic,"419 Welshwood Dr, Nashville, TN 37211",-86.7298483,36.0825919,3650
Whites Creek High School,"7277 Old Hickory Blvd, Whites Creek, TN 37189",-86.8245182,36.2686185,2450
Whitsitt Elementary,"110 Whitsett Rd, Nashville, TN 37210",-86.73652517,36.11557985,1100
Wilson County Community Help Center,"203 W High St, Lebanon, TN 37087",-86.2923322,36.2126367,2450
Woodmont Baptist Church,"2100 Woodmont Blvd, Nashville, TN 37215",-86.81174,36.11469,3300
YWCA,"1608 Woodmont Blvd, Nashville, TN 37215",-86.8186276,36.1147051,3589
